claim_ids	premises	hypotheses	labels
631	Inhibition of HDAC6 activity using a clinically applicable small-molecule inhibitor significantly improved the survival of mice bearing ARID1A-mutated tumours.	Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.	entailment
631	ARID1A and TP53 mutations are typically mutually exclusive.	Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.	neutral
632	Fibroblast-specific FAK knockout mice have substantially less inflammation and fibrosis than control mice in a model of hypertrophic scar formation.	Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.	contradiction
632	Similarly, MCP-1 knockout mice form minimal scars, indicating that inflammatory chemokine pathways are a major mechanism by which FAK mechanotransduction induces fibrosis.	Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.	contradiction
632	Small-molecule inhibition of FAK blocks these effects in human cells and reduces scar formation in vivo through attenuated MCP-1 signaling and inflammatory cell recruitment.	Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.	contradiction
632	These findings collectively indicate that physical force regulates fibrosis through inflammatory FAK–ERK–MCP-1 pathways and that molecular strategies targeting FAK can effectively uncouple mechanical force from pathologic scar formation.	Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.	contradiction
633	Fibroblast-specific FAK knockout mice have substantially less inflammation and fibrosis than control mice in a model of hypertrophic scar formation.	Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.	contradiction
633	These findings collectively indicate that physical force regulates fibrosis through inflammatory FAK–ERK–MCP-1 pathways and that molecular strategies targeting FAK can effectively uncouple mechanical force from pathologic scar formation.	Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.	contradiction
633	We show that FAK acts through extracellular-related kinase (ERK) to mechanically trigger the secretion of monocyte chemoattractant protein-1 (MCP-1, also known as CCL2), a potent chemokine that is linked to human fibrotic disorders.	Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.	neutral
633	Here we report that FAK is activated after cutaneous injury and that this process is potentiated by mechanical loading.	Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.	neutral
635	We found that suppression of 6PGD decreased lipogenesis and RNA biosynthesis and elevated ROS levels in cancer cells, attenuating cell proliferation and tumour growth.6PGD-mediated production of ribulose-5-phosphate (Ru-5-P) inhibits AMPK activation by disrupting the active LKB1 complex, thereby activating acetyl-CoA carboxylase 1 and lipogenesis.	Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.	contradiction
635	The oxidative pentose phosphate pathway (PPP) contributes to tumour growth, but the precise contribution of 6-phosphogluconate dehydrogenase (6PGD), the third enzyme in this pathway, to tumorigenesis remains unclear.	Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.	neutral
635	Moreover, we identified and developed 6PGD inhibitors, physcion and its derivative S3, that effectively inhibited 6PGD, cancer cell proliferation and tumour growth in nude mice xenografts without obvious toxicity, suggesting that 6PGD could be an anticancer target.	Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.	neutral
640	Evidence is accumulating that resistance to artemisinin derivatives, the frontline therapy for the asexual blood stage of the infection, is developing in southeast Asia.	Inside the body, falciparum parasites reproduce asexually.	entailment
640	Our current understanding of the biology of asexual blood-stage parasites and gametocytes and the ability to culture them in vitro lends optimism that high-throughput screenings of large chemical libraries will produce a new generation of antimalarial drugs.	Inside the body, falciparum parasites reproduce asexually.	entailment
640	Renewed initiatives to eliminate malaria will benefit from an expanded repertoire of antimalarials, including new drugs that kill circulating P. falciparum gametocytes, thereby preventing transmission.	Inside the body, falciparum parasites reproduce asexually.	neutral
640	Plasmodium falciparum malaria, an infectious disease caused by a parasitic protozoan, claims the lives of nearly a million children each year in Africa alone and is a top public health concern.	Inside the body, falciparum parasites reproduce asexually.	neutral
643	While insulin acutely stimulated firing frequency in 50% of dopaminergic VTA/SN neurons, this response was abolished in IR(ΔTh) mice.Taken together, these data provide in vivo evidence for a critical role of insulin signaling in catecholaminergic neurons to control food intake and energy homeostasis.	Insulin effects appetite via ventral tegmental neurons.	entailment
643	To define the role of insulin receptor (IR) signaling in this circuitry, we inactivated IR signaling in tyrosine hydroxylase (Th)-expressing cells of mice (IR(ΔTh)).	Insulin effects appetite via ventral tegmental neurons.	neutral
643	Dopaminergic midbrain neurons integrate signals on food palatability and food-associated reward into the complex control of energy homeostasis.	Insulin effects appetite via ventral tegmental neurons.	neutral
645	CONTEXT Hyperhomocysteinemia is caused by genetic and lifestyle influences, including low intakes of folate and vitamin B6.	Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.	contradiction
645	CONCLUSION These results suggest that intake of folate and vitamin B6 above the current recommended dietary allowance may be important in the primary prevention of CHD among women.	Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.	neutral
646	CONTEXT Hyperhomocysteinemia is caused by genetic and lifestyle influences, including low intakes of folate and vitamin B6.	Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.	entailment
646	OBJECTIVE To examine intakes of folate and vitamin B6 in relation to the incidence of nonfatal myocardial infarction (MI) and fatal CHD.	Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.	neutral
647	Improvements from baseline on the Sheehan disability scale (-0.9, 95% confidence interval -1.5 to -0.2; P = 0.006) and global quality of life rating (0.7, 0.2 to 1.2; P = 0.005) were significantly greater at six and 12 months in patients in the intervention group.	Integrated care is ineffective at tackling multiple comorbidities.	contradiction
647	There was a trend toward greater improvement in disabilities in activities of daily living (-1.5, -3.3 to 0.4; P = 0.10).	Integrated care is ineffective at tackling multiple comorbidities.	contradiction
647	CONCLUSIONS Integrated care that covers chronic physical disease and comorbid depression can reduce social role disability and enhance global quality of life.	Integrated care is ineffective at tackling multiple comorbidities.	contradiction
647	OBJECTIVE To evaluate the effectiveness of integrated care for chronic physical diseases and depression in reducing disability and improving quality of life.	Integrated care is ineffective at tackling multiple comorbidities.	neutral
647	DESIGN A randomised controlled trial of multi-condition collaborative care for depression and poorly controlled diabetes and/or risk factors for coronary heart disease compared with usual care among middle aged and elderly people   SETTING Fourteen primary care clinics in Seattle, Washington.   PARTICIPANTS Patients with diabetes or coronary heart disease, or both, and blood pressure above 140/90 mm Hg, low density lipoprotein concentration >3.37 mmol/L, or glycated haemoglobin 8.5% or higher, and PHQ-9 depression scores of ≥ 10.	Integrated care is ineffective at tackling multiple comorbidities.	neutral
647	INTERVENTION A 12 month intervention to improve depression, glycaemic control, blood pressure, and lipid control by integrating a "treat to target" programme for diabetes and risk factors for coronary heart disease with collaborative care for depression.	Integrated care is ineffective at tackling multiple comorbidities.	neutral
648	Improvements from baseline on the Sheehan disability scale (-0.9, 95% confidence interval -1.5 to -0.2; P = 0.006) and global quality of life rating (0.7, 0.2 to 1.2; P = 0.005) were significantly greater at six and 12 months in patients in the intervention group.	Integrated care is successful at tackling multiple comorbidities.	entailment
648	There was a trend toward greater improvement in disabilities in activities of daily living (-1.5, -3.3 to 0.4; P = 0.10).	Integrated care is successful at tackling multiple comorbidities.	entailment
648	CONCLUSIONS Integrated care that covers chronic physical disease and comorbid depression can reduce social role disability and enhance global quality of life.	Integrated care is successful at tackling multiple comorbidities.	entailment
648	The intervention combined self management support, monitoring of disease control, and pharmacotherapy to control depression, hyperglycaemia, hypertension, and hyperlipidaemia.	Integrated care is successful at tackling multiple comorbidities.	neutral
648	MAIN OUTCOME MEASURES Social role disability (Sheehan disability scale), global quality of life rating, and World Health Organization disability assessment schedule (WHODAS-2) scales to measure disabilities in activities of daily living (mobility, self care, household maintenance).	Integrated care is successful at tackling multiple comorbidities.	neutral
648	OBJECTIVE To evaluate the effectiveness of integrated care for chronic physical diseases and depression in reducing disability and improving quality of life.	Integrated care is successful at tackling multiple comorbidities.	neutral
653	Interleukin-18 (IL18) participates in atherogenesis through several putative mechanisms.	Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.	entailment
653	Interruption of IL18 action reduces atherosclerosis in mice.	Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.	entailment
653	In Apoe−/− mice, combined deficiency of IL18r and NCC, but not single deficiency of either protein, protects mice from atherosclerosis.	Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.	entailment
653	Peritoneal macrophages from Apoe−/− mice or from Apoe−/− mice lacking IL18r or NCC show IL18 binding and induction of cell signaling and cytokine and chemokine expression, but macrophages from Apoe−/− mice with combined deficiency of IL18r and NCC have a blunted response.	Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.	neutral
653	An interaction between NCC and IL18r on macrophages was detected by co-immunoprecipitation.	Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.	neutral
653	This study identifies NCC as an IL18-binding protein that collaborates with IL18r in cell signaling, inflammatory molecule expression, and experimental atherogenesis.	Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.	neutral
657	Here we show that the evolutionary conserved rhomboid family protein RHBDL4 is a ubiquitin-dependent ER-resident intramembrane protease that is upregulated upon ER stress.RHBDL4 cleaves single-spanning and polytopic membrane proteins with unstable transmembrane helices, leading to their degradation by the canonical ERAD machinery.	Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.	entailment
657	RHBDL4 specifically binds the AAA+-ATPase p97, suggesting that proteolytic processing and dislocation into the cytosol are functionally linked.	Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.	neutral
657	Still, however, little is known about the components mediating ERAD of membrane proteins.	Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.	neutral
661	We demonstrated that JMJD6 acts as an α-ketoglutarate- and Fe(II)-dependent lysyl hydroxylase to catalyze p53 hydroxylation.We found that p53 indeed exists as a hydroxylated protein in vivo and that the hydroxylation occurs mainly on lysine 382 of p53.Depletion of JMJD6 enhances p53 transcriptional activity, arrests cells in the G1 phase, promotes cell apoptosis, and sensitizes cells to DNA damaging agent-induced cell death.	JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.	entailment
661	Here we report that JMJD6 is physically associated with the tumor suppressor p53.	JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.	neutral
661	Jumonji domain-containing 6 (JMJD6) is a member of the Jumonji C domain-containing family of proteins.	JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.	neutral
661	Our results reveal a novel posttranslational modification for p53 and support the pursuit of JMJD6 as a potential biomarker for colon cancer aggressiveness and a potential target for colon cancer intervention.	JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.	neutral
662	We demonstrated that JMJD6 acts as an α-ketoglutarate- and Fe(II)-dependent lysyl hydroxylase to catalyze p53 hydroxylation.We found that p53 indeed exists as a hydroxylated protein in vivo and that the hydroxylation occurs mainly on lysine 382 of p53.Depletion of JMJD6 enhances p53 transcriptional activity, arrests cells in the G1 phase, promotes cell apoptosis, and sensitizes cells to DNA damaging agent-induced cell death.	JMJD6 slows the hydroxylation of C-terminal lysine	contradiction
662	Our results reveal a novel posttranslational modification for p53 and support the pursuit of JMJD6 as a potential biomarker for colon cancer aggressiveness and a potential target for colon cancer intervention.	JMJD6 slows the hydroxylation of C-terminal lysine	neutral
662	We showed that JMJD6 antagonizes p53 acetylation, promotes the association of p53 with its negative regulator MDMX, and represses transcriptional activity of p53.	JMJD6 slows the hydroxylation of C-terminal lysine	neutral
662	Jumonji domain-containing 6 (JMJD6) is a member of the Jumonji C domain-containing family of proteins.	JMJD6 slows the hydroxylation of C-terminal lysine	neutral
663	Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critical in lesion pathogenesis.	KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.	entailment
663	Here, using Myh11-CreERT2 ROSA floxed STOP eYFP Apoe−/− mice to perform SMC lineage tracing, we find that traditional methods for detecting SMCs based on immunostaining for SMC markers fail to detect >80% of SMC-derived cells within advanced atherosclerotic lesions.	KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.	neutral
665	We report that autoimmune regulator (Aire), a transcriptional regulator, is inducibly expressed in human and mouse tumor keratinocytes in a K17-dependent manner and is required for timely onset of Gli2-induced skin tumorigenesis in mice.	KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.	entailment
665	The induction of Aire mRNA in keratinocytes depends on a functional interaction between K17 and the heterogeneous nuclear ribonucleoprotein hnRNP K. Further, K17 colocalizes with Aire protein in the nucleus of tumor-prone keratinocytes, and each factor is bound to a specific promoter region featuring an NF-κB consensus sequence in a relevant subset of K17- and Aire-dependent proinflammatory genes.	KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.	entailment
666	Here we show that, in mice, regulation of firing activity of neurons from the paraventricular nucleus of the hypothalamus (PVN) by α-MSH and AgRP can be mediated independently of Gαs signalling by ligand-induced coupling of MC4R to closure of inwardly rectifying potassium channel, Kir7.1.	Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.	entailment
666	Furthermore, AgRP is a biased agonist that hyperpolarizes neurons by binding to MC4R and opening Kir7.1, independently of its inhibition of α-MSH binding.	Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.	neutral
667	Herein, we identify the Kruppel-like transcription factor 2 (KLF2) as a potent regulator of myeloid cell activation in vivo.	Klf2 is important for proper myeloid cell function.	entailment
667	Myeloid KLF2 was found to be a potent inhibitor of nuclear factor-kappaB (NF-κB)-dependent HIF-1α transcription and, consequently, a critical determinant of outcome in models of polymicrobial infection and endotoxemia.	Klf2 is important for proper myeloid cell function.	entailment
667	Collectively, these observations identify KLF2 as a tonic repressor of myeloid cell activation in vivo and an essential regulator of the innate immune system.	Klf2 is important for proper myeloid cell function.	entailment
668	Several members of the Kruppel-like factor (KLF) family of transcription factors play important roles in differentiation, survival, and trafficking of blood and immune cell types.	Klf4 is important for proper myeloid cell differentiation.	entailment
668	Thus, our in vivo loss-of-function studies demonstrate that KLF4, previously shown to mediate proinflammatory signaling in human macrophages in vitro, is essential for differentiation of mouse inflammatory monocytes, and is involved in the differentiation of resident monocytes.	Klf4 is important for proper myeloid cell differentiation.	entailment
668	In addition, inducible expression of KLF4 in the HL60 human acute myeloid leukemia cell line stimulated monocytic differentiation and enhanced 12-O-tetradecanoylphorbol 13-acetate induced macrophage differentiation, but blocked all-trans-retinoic acid induced granulocytic differentiation of HL60 cells.	Klf4 is important for proper myeloid cell differentiation.	entailment
668	The inflammation-selective effects of loss-of-KLF4 and the gain-of-KLF4-induced monocytic differentiation in HL60 cells identify KLF4 as a key regulator of monocytic differentiation and a potential target for translational immune modulation.	Klf4 is important for proper myeloid cell differentiation.	entailment
669	Several members of the Kruppel-like factor (KLF) family of transcription factors play important roles in differentiation, survival, and trafficking of blood and immune cell types.	Klf4 is not required for proper myeloid cell differentiation.	contradiction
669	Thus, our in vivo loss-of-function studies demonstrate that KLF4, previously shown to mediate proinflammatory signaling in human macrophages in vitro, is essential for differentiation of mouse inflammatory monocytes, and is involved in the differentiation of resident monocytes.	Klf4 is not required for proper myeloid cell differentiation.	contradiction
669	In addition, inducible expression of KLF4 in the HL60 human acute myeloid leukemia cell line stimulated monocytic differentiation and enhanced 12-O-tetradecanoylphorbol 13-acetate induced macrophage differentiation, but blocked all-trans-retinoic acid induced granulocytic differentiation of HL60 cells.	Klf4 is not required for proper myeloid cell differentiation.	contradiction
669	The inflammation-selective effects of loss-of-KLF4 and the gain-of-KLF4-induced monocytic differentiation in HL60 cells identify KLF4 as a key regulator of monocytic differentiation and a potential target for translational immune modulation.	Klf4 is not required for proper myeloid cell differentiation.	contradiction
670	We also found that its deletion in the tubular epithelium leads to enhanced TGF-β1-Smad family member 3 (Smad3) signaling, epithelial damage and fibrosis, suggesting a protective role for Alk3-mediated signaling in the kidney.	Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.	entailment
670	Combining THR-123 and the angiotensin-converting enzyme inhibitor captopril had an additive therapeutic benefit in controlling renal fibrosis.	Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.	entailment
670	Here we show that the BMP receptor activin-like kinase 3 (Alk3) is elevated early in diseased kidneys after injury.	Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.	neutral
670	One such peptide agonist, THR-123, suppressed inflammation, apoptosis and the epithelial-to-mesenchymal transition program and reversed established fibrosis in five mouse models of acute and chronic renal injury.	Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.	neutral
671	We also found that its deletion in the tubular epithelium leads to enhanced TGF-β1-Smad family member 3 (Smad3) signaling, epithelial damage and fibrosis, suggesting a protective role for Alk3-mediated signaling in the kidney.	Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.	entailment
671	Molecules associated with the transforming growth factor β (TGF-β) superfamily, such as bone morphogenic proteins (BMPs) and TGF-β, are key regulators of inflammation, apoptosis and cellular transitions.	Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.	neutral
673	BACKGROUND LDL cholesterol has a causal role in the development of cardiovascular disease.	LDL cholesterol has a causal role in the development of cardiovascular disease.	entailment
673	Statistical approaches, including meta-analysis and linkage disequilibrium plots, were used to refine association signals; we analysed pooled data from all seven populations to determine the effect of each SNP on variations in circulating LDL-cholesterol concentrations.	LDL cholesterol has a causal role in the development of cardiovascular disease.	neutral
680	FGF21 deficiency causes a marked exacerbation of atherosclerotic plaque formation and premature death in apolipoprotein E(-/-) mice, which is accompanied by hypoadiponectinemia and severe hypercholesterolemia.	Lack of FGF21 in mice increases life expectancy.	contradiction
680	It acts as a key downstream target of both peroxisome proliferator-activated receptor α and γ, the agonists of which have been used for lipid lowering and insulin sensitization, respectively.	Lack of FGF21 in mice increases life expectancy.	neutral
681	FGF21 deficiency causes a marked exacerbation of atherosclerotic plaque formation and premature death in apolipoprotein E(-/-) mice, which is accompanied by hypoadiponectinemia and severe hypercholesterolemia.	Lack of FGF21 in mice leads to atherosclerotic plaque formation.	entailment
681	Replenishment of FGF21 protects against atherosclerosis in apolipoprotein E(-/-)mice via 2 independent mechanisms, inducing the adipocyte production of adiponectin, which in turn acts on the blood vessels to inhibit neointima formation and macrophage inflammation, and suppressing the hepatic expression of the transcription factor sterol regulatory element-binding protein-2, thereby leading to reduced cholesterol synthesis and attenuation of hypercholesterolemia.	Lack of FGF21 in mice leads to atherosclerotic plaque formation.	entailment
681	CONCLUSIONS FGF21 protects against atherosclerosis via fine tuning the multiorgan crosstalk among liver, adipose tissue, and blood vessels.	Lack of FGF21 in mice leads to atherosclerotic plaque formation.	entailment
681	However, the role of FGF21 in the cardiovascular system remains elusive.	Lack of FGF21 in mice leads to atherosclerotic plaque formation.	neutral
681	It acts as a key downstream target of both peroxisome proliferator-activated receptor α and γ, the agonists of which have been used for lipid lowering and insulin sensitization, respectively.	Lack of FGF21 in mice leads to atherosclerotic plaque formation.	neutral
681	METHODS AND RESULTS The roles of FGF21 in atherosclerosis were investigated by evaluating the impact of FGF21 deficiency and replenishment with recombinant FGF21 in apolipoprotein E(-/-) mice.	Lack of FGF21 in mice leads to atherosclerotic plaque formation.	neutral
682	FGF21 deficiency causes a marked exacerbation of atherosclerotic plaque formation and premature death in apolipoprotein E(-/-) mice, which is accompanied by hypoadiponectinemia and severe hypercholesterolemia.	Lack of FGF21 in mice leads to reduced lifespan.	entailment
682	However, the role of FGF21 in the cardiovascular system remains elusive.	Lack of FGF21 in mice leads to reduced lifespan.	neutral
683	FGF21 deficiency causes a marked exacerbation of atherosclerotic plaque formation and premature death in apolipoprotein E(-/-) mice, which is accompanied by hypoadiponectinemia and severe hypercholesterolemia.	Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.	contradiction
683	Replenishment of FGF21 protects against atherosclerosis in apolipoprotein E(-/-)mice via 2 independent mechanisms, inducing the adipocyte production of adiponectin, which in turn acts on the blood vessels to inhibit neointima formation and macrophage inflammation, and suppressing the hepatic expression of the transcription factor sterol regulatory element-binding protein-2, thereby leading to reduced cholesterol synthesis and attenuation of hypercholesterolemia.	Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.	contradiction
683	CONCLUSIONS FGF21 protects against atherosclerosis via fine tuning the multiorgan crosstalk among liver, adipose tissue, and blood vessels.	Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.	contradiction
683	By contrast, the cholesterol-lowering effects of FGF21 are abrogated by hepatic expression of sterol regulatory element-binding protein-2.	Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.	neutral
683	BACKGROUND Fibroblast growth factor 21 (FGF21) is a metabolic hormone with pleiotropic effects on glucose and lipid metabolism and insulin sensitivity.	Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.	neutral
683	METHODS AND RESULTS The roles of FGF21 in atherosclerosis were investigated by evaluating the impact of FGF21 deficiency and replenishment with recombinant FGF21 in apolipoprotein E(-/-) mice.	Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.	neutral
694	Here we show that the degree of LAV-mediated protection against intravenous wild-type SIVmac239 challenge strongly correlates with the magnitude and function of SIV-specific, effector-differentiated T cells in the lymph node but not with the responses of such T cells in the blood or with other cellular, humoral and innate immune parameters.	Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.	entailment
694	We found that maintenance of protective T cell responses is associated with persistent LAV replication in the lymph node, which occurs almost exclusively in follicular helper T cells.	Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.	neutral
709	RESULTS No differences were seen in the overall percentage of infants with immunoglobulin E associated allergic disease between the n-3 LCPUFA and control groups (32/368 (9%) v 43/338 (13%); unadjusted relative risk 0.68, 95% confidence interval 0.43 to 1.05, P=0.08; adjusted relative risk 0.70, 0.45 to 1.09, P=0.12), although the percentage of infants diagnosed as having atopic eczema (that is, eczema with associated sensitisation) was lower in the n-3 LCPUFA group (26/368 (7%) v 39/338 (12%); unadjusted relative risk 0.61, 0.38 to 0.98, P=0.04; adjusted relative risk 0.64, 0.40 to 1.02, P=0.06).	Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.	entailment
709	CONCLUSION n-3 LCPUFA supplementation in pregnancy did not reduce the overall incidence of immunoglobulin E associated allergies in the first year of life, although atopic eczema and egg sensitisation were lower.	Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.	entailment
709	Fewer infants were sensitised to egg in the n-3 LCPUFA group (34/368 (9%) v 52/338 (15%); unadjusted relative risk 0.61, 0.40 to 0.91, P=0.02; adjusted relative risk 0.62, 0.41 to 0.93, P=0.02), but no difference between groups in immunoglobulin E associated food allergy was seen.	Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.	neutral
709	Longer term follow-up is needed to determine if supplementation has an effect on respiratory allergic diseases and aeroallergen sensitisation in childhood.	Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.	neutral
717	Clustered methylation occurs at unprecedented densities and directly disfavors nucleosomes, contributing to nucleosome positioning between clusters.	Low nucleosome occupancy correlates with high methylation levels across species.	entailment
717	Their genomes are typically depleted of CG dinucleotides because of imperfect repair of deaminated methylcytosines.	Low nucleosome occupancy correlates with high methylation levels across species.	neutral
724	Ly49Q-dependent polarization and migration were affected by Ly49Q regulation of membrane raft functions.	Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.	entailment
724	We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.	Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.	entailment
724	Neutrophils rapidly undergo polarization and directional movement to infiltrate the sites of infection and inflammation.	Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.	neutral
724	During the steady state, Ly49Q inhibited neutrophil adhesion by preventing focal-complex formation, likely by inhibiting Src and PI3 kinases.	Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.	neutral
726	Under inflammatory conditions elicited either by acute infection with Listeria monocytogenes or chronic infection with Leishmania major, there was a significant increase in immature Ly-6C(high) monocytes, resembling the inflammatory left shift of granulocytes.	Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.	entailment
726	In addition, acute peritoneal inflammation recruited preferentially Ly-6C(med-high) monocytes.	Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.	entailment
726	These cells were exclusively of the Ly-6C(high) subset, resembling bone marrow monocytes.	Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.	neutral
726	Subsets of human monocytes with differential representation in various disease states are well known.	Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.	neutral
734	However, when NVP-BEZ235 was combined with a mitogen-activated protein kinase kinase (MEK) inhibitor, ARRY-142886, there was marked synergy in shrinking these Kras-mutant cancers.	MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.	entailment
734	Furthermore, clinical trials with PI3K inhibitors have recently been initiated, and it is unknown if their efficacy will be restricted to specific, genetically defined malignancies.	MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.	neutral
736	Mechanistically, we found that Mfge8 coordinates fatty acid uptake through αvβ3 integrin– and αvβ5 integrin–dependent phosphorylation of Akt by phosphatidylinositide-3 kinase and mTOR complex 2, leading to translocation of Cd36 and Fatp1 from cytoplasmic vesicles to the cell surface.	MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.	entailment
736	Fatty acids are integral mediators of energy storage, membrane formation and cell signaling.	MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.	neutral
737	Instead of being integrated into a regular sarcomeric pattern, actin and myosin filaments are disorganized and accumulate beneath the plasmamembrane.	MICAL redox enzymes regulate actin dynamics in many cell types.	entailment
737	Transgenic expression of interfering RNA molecules demonstrates that MICAL is required in muscles for the higher order arrangement of myofilaments.	MICAL redox enzymes regulate actin dynamics in many cell types.	entailment
737	In a large-scale mutagenesis screen, designed to identify Drosophila mutants with abnormally structured neuromuscular junctions (NMJs), we discovered mutations in Drosophila mical, a conserved gene encoding a multi-domain protein with a N-terminal monooxygenase domain.	MICAL redox enzymes regulate actin dynamics in many cell types.	neutral
737	Whereas contractile elements are strongly deranged, the proposed organizer of sarcomeric structure, D-Titin, is much less affected.	MICAL redox enzymes regulate actin dynamics in many cell types.	neutral
737	In this study we show that in non-neural cells human MICALs are required for normal actin organization, and all three MICALs regulate actin stress fibers.	MICAL redox enzymes regulate actin dynamics in many cell types.	entailment
737	Moreover, we provide evidence that the generation of reactive oxygen species by MICAL proteins is crucial for their actin-regulatory function.	MICAL redox enzymes regulate actin dynamics in many cell types.	neutral
738	Consistent with high expression of MICAL in somatic muscles, immunohistochemical stainings reveal that the subcellular localization and architecture of contractile muscle filaments are dramatically disturbed in mical mutants.	MICAL redox enzymes regulate actin dynamics.	entailment
738	Transgenic expression of interfering RNA molecules demonstrates that MICAL is required in muscles for the higher order arrangement of myofilaments.	MICAL redox enzymes regulate actin dynamics.	entailment
738	Instead of being integrated into a regular sarcomeric pattern, actin and myosin filaments are disorganized and accumulate beneath the plasmamembrane.	MICAL redox enzymes regulate actin dynamics.	neutral
738	In a large-scale mutagenesis screen, designed to identify Drosophila mutants with abnormally structured neuromuscular junctions (NMJs), we discovered mutations in Drosophila mical, a conserved gene encoding a multi-domain protein with a N-terminal monooxygenase domain.	MICAL redox enzymes regulate actin dynamics.	neutral
